raza,vida_min,vida_max,vida_promedio,peso_macho_max,peso_hembra_max,peso_promedio,categoria_peso,diferencia_sexual_peso,hipoalergenico,fecha_extraccion
Bulldog,8,10,9.0,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.083291
Bullmastiff,8,10,9.0,59,54,56.5,Gigante,5,False,2026-03-26T12:16:51.083294
Bull Terrier,12,15,13.5,22,20,21.0,Mediano,2,False,2026-03-26T12:16:51.083298
Cairn Terrier,14,16,15.0,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083302
Canaan Dog,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083306
Cane Corso,10,12,11.0,50,45,47.5,Gigante,5,False,2026-03-26T12:16:51.083309
Cardigan Welsh Corgi,12,15,13.5,15,14,14.5,Pequeño,1,False,2026-03-26T12:16:51.083313
Carolina Dog,12,14,13.0,14,14,14.0,Pequeño,0,False,2026-03-26T12:16:51.083318
Catahoula Leopard Dog,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083322
Caucasian Shepherd Dog,15,20,17.5,90,70,80.0,Gigante,20,False,2026-03-26T12:16:51.083325
Cavalier King Charles Spaniel,12,15,13.5,8,8,8.0,Muy pequeño,0,False,2026-03-26T12:16:51.083332
Central Asian Shepherd Dog,12,14,13.0,90,70,80.0,Gigante,20,False,2026-03-26T12:16:51.083335
Cesky Terrier,12,14,13.0,8,8,8.0,Muy pequeño,0,False,2026-03-26T12:16:51.083339
Chesapeake Bay Retriever,12,14,13.0,36,36,36.0,Grande,0,False,2026-03-26T12:16:51.083342
Chihuahua,14,16,15.0,3,3,3.0,Muy pequeño,0,False,2026-03-26T12:16:51.083345
Chinese Crested,14,16,15.0,5,5,5.0,Muy pequeño,0,True,2026-03-26T12:16:51.083349
Chinese Shar-Pei,12,14,13.0,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.083353
Chinook,12,14,13.0,29,29,29.0,Mediano,0,False,2026-03-26T12:16:51.083359
Chow Chow,12,15,13.5,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083363
Cirneco dell'Etna,12,14,13.0,14,14,14.0,Pequeño,0,False,2026-03-26T12:16:51.083366
Clumber Spaniel,12,14,13.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083369
Cocker Spaniel,12,15,13.5,15,12,13.5,Pequeño,3,False,2026-03-26T12:16:51.083373
Collie,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083376
Coton de Tulear,12,15,13.5,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083379
Croatian Sheepdog,12,15,13.5,22,22,22.0,Mediano,0,False,2026-03-26T12:16:51.083383
Curly-Coated Retriever,12,14,13.0,34,32,33.0,Grande,2,False,2026-03-26T12:16:51.083387
Czechoslovakian Vlcak,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083390
Dachshund,12,15,13.5,9,9,9.0,Muy pequeño,0,False,2026-03-26T12:16:51.083396
Dalmatian,11,13,12.0,32,32,32.0,Grande,0,False,2026-03-26T12:16:51.083400
Dandie Dinmont Terrier,12,14,13.0,11,11,11.0,Pequeño,0,False,2026-03-26T12:16:51.083403
Danish-Swedish Farmdog,12,14,13.0,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083412
Deutscher Wachtelhund,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083417
Doberman Pinscher,10,13,11.5,40,35,37.5,Grande,5,False,2026-03-26T12:16:51.083420
Dogo Argentino,10,12,11.0,45,45,45.0,Gigante,0,False,2026-03-26T12:16:51.083424
Dogue de Bordeaux,8,10,9.0,70,70,70.0,Gigante,0,False,2026-03-26T12:16:51.083427
Drentsche Patrijshond,12,14,13.0,22,22,22.0,Mediano,0,False,2026-03-26T12:16:51.083431
Drever,12,14,13.0,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083435
Dutch Shepherd,12,14,13.0,40,35,37.5,Grande,5,False,2026-03-26T12:16:51.083440
